ID_CRYPTO_PRICE_HISTORY,NM_CRYPTO_SYMBOL,NM_CRYPTO_NAME,VL_USD_PRICE,VL_BRL_PRICE,VL_BTC_PRICE,ID_COINMARKETCAP,VL_DIFF_PRICE24,LISTING_TIME,VL_DIFF_PRICE1
693100,LIBF,TSAG Libra,31.90838500000000000000,167.97531300000000000000,0.00071200000000000000,-3,,2022-02-08 06:15:00.017,
693101,LIBF,TSAG Libra,30.78622800000000000000,161.92632400000000000000,0.00070700000000000000,-3,,2022-02-09 06:15:00.003,
693102,ADVF,TSAG Advanced,34.32500900000000000000,180.69714600000000000000,0.00076600000000000000,-2,,2022-02-08 06:15:00.017,
693103,ADVF,TSAG Advanced,33.22129700000000000000,174.73405600000000000000,0.00076400000000000000,-2,,2022-02-09 06:15:00.003,
693104,TCCFUSD,TSAG Counter Cyclical USD,1.56633000000000000000,8.24563200000000000000,0.00003400000000000000,-4,,2022-02-08 06:15:00.017,
693105,TCCFUSD,TSAG Counter Cyclical USD,1.56540100000000000000,8.23354200000000000000,0.00003600000000000000,-4,,2022-02-09 06:15:00.003,
739817,LIBF,TSAG Libra,30.99489500000000000000,162.29547000000000000000,0.00070600000000000000,-3,,2022-02-10 06:15:00.000,
739818,ADVF,TSAG Advanced,33.05829400000000000000,173.09984200000000000000,0.00075200000000000000,-2,,2022-02-10 06:15:00.000,
739819,TCCFUSD,TSAG Counter Cyclical USD,1.53657400000000000000,8.04580900000000000000,0.00003400000000000000,-4,,2022-02-10 06:15:00.000,
904063,ARBF,TSAG Conservative,0.19047900000000000000,1.00000000000000000000,0.00000400000000000000,-1,,2022-02-11 05:30:00.470,
904064,GSAF,TSAG Global Stable,1.00000000000000000000,5.24990000000000000000,0.00002302186993214000,-5,,2022-02-11 05:30:00.470,
904065,LIBF,TSAG Libra,30.27555900000000000000,158.94366100000000000000,0.00069600000000000000,-3,,2022-02-11 05:30:00.470,
904066,ADVF,TSAG Advanced,38.05077500000000000000,199.76276500000000000000,0.00087500000000000000,-2,,2022-02-11 05:30:00.470,
904067,TCCFUSD,TSAG Counter Cyclical USD,1.56373000000000000000,8.20942900000000000000,0.00003600000000000000,-4,,2022-02-11 05:30:00.470,
1063284,ARBF,TSAG Conservative,0.19035200000000000000,1.00000000000000000000,0.00000400000000000000,-1,,2022-02-12 05:30:00.020,
1063285,GSAF,TSAG Global Stable,1.00000000000000000000,5.25339900000000000000,0.00002372449177342000,-5,,2022-02-12 05:30:00.020,
1063286,LIBF,TSAG Libra,28.15655600000000000000,147.91765500000000000000,0.00066700000000000000,-3,,2022-02-12 05:30:00.020,
1063287,ADVF,TSAG Advanced,36.50236200000000000000,191.76151100000000000000,0.00086500000000000000,-2,,2022-02-12 05:30:00.020,
1063288,TCCFUSD,TSAG Counter Cyclical USD,1.55956900000000000000,8.19304400000000000000,0.00003700000000000000,-4,,2022-02-12 05:30:00.020,
1259905,ARBF,TSAG Conservative,0.19033100000000000000,1.00000000000000000000,0.00000400000000000000,-1,,2022-02-13 05:30:00.017,
1259906,GSAF,TSAG Global Stable,1.00000000000000000000,5.25398100000000000000,0.00002356752590180000,-5,,2022-02-13 05:30:00.017,
1259907,LIBF,TSAG Libra,28.55624300000000000000,150.03395900000000000000,0.00067300000000000000,-3,,2022-02-13 05:30:00.017,
1259908,ADVF,TSAG Advanced,36.83034000000000000000,193.50590800000000000000,0.00086700000000000000,-2,,2022-02-13 05:30:00.017,
1259909,TCCFUSD,TSAG Counter Cyclical USD,1.56995600000000000000,8.24852400000000000000,0.00003700000000000000,-4,,2022-02-13 05:30:00.017,
1475080,ARBF,TSAG Conservative,0.19036200000000000000,1.00000000000000000000,0.00000400000000000000,-1,,2022-02-14 05:30:00.010,
1475081,GSAF,TSAG Global Stable,1.00000000000000000000,5.25312400000000000000,0.00002364160036649000,-5,,2022-02-14 05:30:00.010,
1475082,LIBF,TSAG Libra,27.91689100000000000000,146.65092200000000000000,0.00065900000000000000,-3,,2022-02-14 05:30:00.010,
1475083,ADVF,TSAG Advanced,36.50345000000000000000,191.75719100000000000000,0.00086300000000000000,-2,,2022-02-14 05:30:00.010,
1475084,TCCFUSD,TSAG Counter Cyclical USD,1.56503700000000000000,8.22134000000000000000,0.00003700000000000000,-4,,2022-02-14 05:30:00.010,
1680989,ARBF,TSAG Conservative,0.19174300000000000000,1.00000000000000000000,0.00000400000000000000,-1,,2022-02-15 05:30:00.017,
1680990,GSAF,TSAG Global Stable,1.00000000000000000000,5.21530000000000000000,0.00002287354473870000,-5,,2022-02-15 05:30:00.017,
1680991,LIBF,TSAG Libra,28.98545000000000000000,151.16782000000000000000,0.00066200000000000000,-3,,2022-02-15 05:30:00.017,
1680992,ADVF,TSAG Advanced,37.33570800000000000000,194.71692100000000000000,0.00085400000000000000,-2,,2022-02-15 05:30:00.017,
1680993,TCCFUSD,TSAG Counter Cyclical USD,1.57387000000000000000,8.20820700000000000000,0.00003500000000000000,-4,,2022-02-15 05:30:00.017,
1774735,ARBF,TSAG Conservative,0.19276300000000000000,1.00000000000000000000,0.00000400000000000000,-1,,2022-02-16 15:25:03.577,
1774736,GSAF,TSAG Global Stable,1.00000000000000000000,5.18769900000000000000,0.00002274910298960000,-5,,2022-02-16 15:25:03.577,
1774737,LIBF,TSAG Libra,29.36379500000000000000,152.33056000000000000000,0.00066700000000000000,-3,,2022-02-16 15:25:03.577,
1774738,ADVF,TSAG Advanced,37.49598300000000000000,194.51791600000000000000,0.00085300000000000000,-2,,2022-02-16 15:25:03.577,
